t_s	speed_m_s	speed_km_h	acel_m_s2	Alt_api_c_f	N_intervalo_200m	Pendiente_200m	R2_200m	Grade_200m	Driver	micro_ciclo	Cluster
178	5,859282051	21,09341538	-0,034045843	1511,138676	36	-0,048932067	0,57803813	-2,801366535	8	53	1
179	5,732890443	20,63840559	-0,168114219	1511,13942	36	-0,048932067	0,57803813	-2,801366535	8	53	1
180	5,544773893	19,96118601	-0,240554002	1511,136435	36	-0,048932067	0,57803813	-2,801366535	8	53	1
181	5,282857809	19,01828811	-0,228523893	1511,130542	36	-0,048932067	0,57803813	-2,801366535	8	53	1
182	5,145668998	18,52440839	-0,002408897	1511,122781	36	-0,048932067	0,57803813	-2,801366535	8	53	1
183	5,282337995	19,01641678	0,233153263	1511,11442	36	-0,048932067	0,57803813	-2,801366535	8	53	1
184	5,569522145	20,05027972	0,30460237	1511,106977	36	-0,048932067	0,57803813	-2,801366535	8	53	1
185	5,875843823	21,15303776	0,340893357	1511,102226	36	-0,048932067	0,57803813	-2,801366535	8	53	1
186	6,238487179	22,45855385	0,358612471	1511,102219	36	-0,048932067	0,57803813	-2,801366535	8	53	1
187	6,543337995	23,55601678	0,19892366	1511,100446	36	-0,048932067	0,57803813	-2,801366535	8	53	1
188	6,606125874	23,78205315	-0,057782828	1511,096743	37	-0,011959039	0,955146986	-0,685169791	8	53	1
189	6,429869464	23,14753007	-0,283083528	1511,090951	37	-0,011959039	0,955146986	-0,685169791	8	53	1
190	6,024132867	21,68687832	-0,588854895	1511,08292	37	-0,011959039	0,955146986	-0,685169791	8	53	1
191	5,28439627	19,02382657	-0,77651418	1511,072506	37	-0,011959039	0,955146986	-0,685169791	8	53	1
192	4,508599068	16,23095664	-0,826095571	1511,059576	37	-0,011959039	0,955146986	-0,685169791	8	53	1
193	3,623769231	13,04556923	-0,938446581	1511,044006	37	-0,011959039	0,955146986	-0,685169791	8	53	1
194	2,652263403	9,548148252	-0,987268065	1511,025685	37	-0,011959039	0,955146986	-0,685169791	8	53	1
195	1,69506993	6,102251748	-0,848713869	1511,004512	37	-0,011959039	0,955146986	-0,685169791	8	53	1
196	0,926221445	3,334397203	-0,90902467	1510,980399	37	-0,011959039	0,955146986	-0,685169791	8	53	1
197	0	0	-0,476225136	1510,953273	37	-0,011959039	0,955146986	-0,685169791	8	53	1
198	0	0	0,07718512	1510,923073	37	-0,011959039	0,955146986	-0,685169791	8	53	1
199	0	0	0	1510,889754	37	-0,011959039	0,955146986	-0,685169791	8	53	1
200	0	0	0	1510,853288	37	-0,011959039	0,955146986	-0,685169791	8	53	1
201	0	0	0	1510,81366	37	-0,011959039	0,955146986	-0,685169791	8	53	1
202	0	0	0	1510,770876	37	-0,011959039	0,955146986	-0,685169791	8	53	1
203	0	0	0	1510,724955	37	-0,011959039	0,955146986	-0,685169791	8	53	1
204	0	0	0	1510,675936	37	-0,011959039	0,955146986	-0,685169791	8	53	1
205	0	0	-0,076259324	1510,623878	37	-0,011959039	0,955146986	-0,685169791	8	53	1
206	0	0	0,005881896	1498,240131	41	-0,061873259	0,834320228	-3,540563123	8	66	1
207	0,583706294	2,101342657	0,544309052	1498,036055	41	-0,061873259	0,834320228	-3,540563123	8	66	1
208	0,902468531	3,248886713	0,295331779	1497,838854	41	-0,061873259	0,834320228	-3,540563123	8	66	1
209	1,250314685	4,501132867	0,465833333	1497,649051	41	-0,061873259	0,834320228	-3,540563123	8	66	1
210	1,788885781	6,439988811	0,446410451	1497,467111	41	-0,061873259	0,834320228	-3,540563123	8	66	1
211	2,085044289	7,506159441	0,222316239	1497,293434	41	-0,061873259	0,834320228	-3,540563123	8	66	1
212	2,223379953	8,004167832	-0,01163345	1497,128366	41	-0,061873259	0,834320228	-3,540563123	8	66	1
213	2,058473193	7,410503497	-0,295573038	1496,972191	41	-0,061873259	0,834320228	-3,540563123	8	66	1
214	1,715918415	6,177306294	-0,27377603	1496,825136	41	-0,061873259	0,834320228	-3,540563123	8	66	1
215	1,572228438	5,660022378	-0,029148601	1496,687373	41	-0,061873259	0,834320228	-3,540563123	8	66	1
216	1,618734266	5,827443357	0,053539821	1496,559019	41	-0,061873259	0,834320228	-3,540563123	8	66	1
217	1,630783217	5,87081958	-0,028737956	1496,440137	41	-0,061873259	0,834320228	-3,540563123	8	66	1
218	1,541878788	5,550763636	-0,167924242	1496,330737	41	-0,061873259	0,834320228	-3,540563123	8	66	1
219	1,302240093	4,688064336	-0,271522922	1496,230781	41	-0,061873259	0,834320228	-3,540563123	8	66	1
220	1,005480186	3,619728671	-0,341090521	1496,140181	41	-0,061873259	0,834320228	-3,540563123	8	66	1
221	0,597869464	2,15233007	-0,561800117	1496,058802	41	-0,061873259	0,834320228	-3,540563123	8	66	1
222	0	0	-0,314789627	1495,986464	41	-0,061873259	0,834320228	-3,540563123	8	66	1
223	0	0	0,049822455	1495,922944	41	-0,061873259	0,834320228	-3,540563123	8	66	1
224	0	0	-0,071627428	1495,867981	41	-0,061873259	0,834320228	-3,540563123	8	66	1
225	0	0	0,405746698	1563,686155	24	-0,159871281	0,562652892	-9,083085814	10	98	1
226	0,764090909	2,750727273	0,684532051	1562,551242	24	-0,159871281	0,562652892	-9,083085814	10	98	1
227	1,2437669	4,477560839	0,467379953	1561,438618	24	-0,159871281	0,562652892	-9,083085814	10	98	1
228	1,735750583	6,248702098	0,476465035	1560,353046	24	-0,159871281	0,562652892	-9,083085814	10	98	1
229	2,164717949	7,792984615	0,348727467	1559,29901	24	-0,159871281	0,562652892	-9,083085814	10	98	1
230	2,414118881	8,690827972	0,179678322	1558,280704	24	-0,159871281	0,562652892	-9,083085814	10	98	1
231	2,485983683	8,949541259	-0,143133061	1557,30203	24	-0,159871281	0,562652892	-9,083085814	10	98	1
232	2,149736597	7,739051748	-0,38954798	1556,366588	24	-0,159871281	0,562652892	-9,083085814	10	98	1
233	1,76725641	6,362123077	-0,409077312	1555,477676	24	-0,159871281	0,562652892	-9,083085814	10	98	1
234	1,338876457	4,819955245	-0,393672688	1554,638285	24	-0,159871281	0,562652892	-9,083085814	10	98	1
235	0,908030303	3,268909091	-0,745312937	1553,851092	24	-0,159871281	0,562652892	-9,083085814	10	98	1
236	0	0	-0,493780497	1553,118463	24	-0,159871281	0,562652892	-9,083085814	10	98	1
237	0	0	0,075669192	1552,442448	24	-0,159871281	0,562652892	-9,083085814	10	98	1
238	0	0	0	1551,824784	24	-0,159871281	0,562652892	-9,083085814	10	98	1
239	0	0	0	1551,26689	24	-0,159871281	0,562652892	-9,083085814	10	98	1
240	0	0	0	1550,769873	24	-0,159871281	0,562652892	-9,083085814	10	98	1
241	0	0	0	1550,334526	24	-0,159871281	0,562652892	-9,083085814	10	98	1
242	0	0	0	1549,961332	24	-0,159871281	0,562652892	-9,083085814	10	98	1
243	0	0	0	1549,65047	24	-0,159871281	0,562652892	-9,083085814	10	98	1
244	0	0	0	1549,401813	24	-0,159871281	0,562652892	-9,083085814	10	98	1
245	0	0	-0,055294483	1549,214937	24	-0,159871281	0,562652892	-9,083085814	10	98	1
246	0	0	0,391361694	1572,111112	19	-0,017202585	0,713726559	-0,985538311	2	231	1
247	0,84025641	3,024923077	1,047249417	1572,120413	19	-0,017202585	0,713726559	-0,985538311	2	231	1
248	2,025710956	7,292559441	1,444061772	1572,123323	19	-0,017202585	0,713726559	-0,985538311	2	231	1
249	3,638694639	13,0993007	1,563890831	1572,119087	19	-0,017202585	0,713726559	-0,985538311	2	231	1
250	5,058764569	18,21155245	1,386262626	1572,107009	19	-0,017202585	0,713726559	-0,985538311	2	231	1
251	6,337995338	22,81678322	1,011385004	1572,086459	19	-0,017202585	0,713726559	-0,985538311	2	231	1
252	6,984965035	25,14587413	0,294248252	1572,056885	19	-0,017202585	0,713726559	-0,985538311	2	231	1
253	6,911678322	24,88204196	-0,486280109	1572,017815	19	-0,017202585	0,713726559	-0,985538311	2	231	1
254	6,117249417	22,0220979	-0,891486014	1571,968868	19	-0,017202585	0,713726559	-0,985538311	2	231	1
255	5,231631702	18,83387413	-0,947113442	1571,909757	19	-0,017202585	0,713726559	-0,985538311	2	231	1
256	4,242424242	15,27272727	-1,016736597	1571,840301	19	-0,017202585	0,713726559	-0,985538311	2	231	1
257	3,278438228	11,80237762	-0,811542347	1571,760429	19	-0,017202585	0,713726559	-0,985538311	2	231	1
258	2,692540793	9,693146853	-0,331882284	1571,670191	19	-0,017202585	0,713726559	-0,985538311	2	231	1
259	2,571072261	9,25586014	-0,047097902	1571,569759	19	-0,017202585	0,713726559	-0,985538311	2	231	1
260	2,566083916	9,237902098	0,149417249	1571,459442	19	-0,017202585	0,713726559	-0,985538311	2	231	1
261	2,831958042	10,19504895	0,234947552	1571,339686	19	-0,017202585	0,713726559	-0,985538311	2	231	1
262	2,986620047	10,75183217	0,132451437	1571,211088	19	-0,017202585	0,713726559	-0,985538311	2	231	1
263	3,115990676	11,21756643	0,139601787	1571,0744	19	-0,017202585	0,713726559	-0,985538311	2	231	1
264	3,248927739	11,69613986	0,068003108	1570,930535	19	-0,017202585	0,713726559	-0,985538311	2	231	1
265	3,255198135	11,71871329	-0,003286713	1570,780577	19	-0,017202585	0,713726559	-0,985538311	2	231	1
266	3,284242424	11,82327273	0,08262432	1570,625791	19	-0,017202585	0,713726559	-0,985538311	2	231	1
267	3,437948718	12,37661538	0,208444056	1570,467622	19	-0,017202585	0,713726559	-0,985538311	2	231	1
268	3,719440559	13,38998601	0,394485237	1570,303288	19	-0,017202585	0,713726559	-0,985538311	2	231	1
