micro_ciclo;Driver;Speed_mean;Speed_max;Acel_pos_mean;Acel_pos_max;Acel_neg_mean;Acel_neg_max;Duration;Distance;time_ralenti;time_mov;Pend160_pos_max;Pend160_neg_mean;Pend160_neg_max;time_Pend160_pos;time_Pend160_neg;Pend200_pos_mean;Pend200_pos_max;Pend200_neg_mean;Pend200_neg_max;time_Pend200_pos;time_Pend200_neg;Social_stratum;Driver_age;PC1;PC2;PC3;PC4;Cluster
912;22;23.08050392;44.04117483;0.663546209;1.337676768;-0.703777377;-2.085003885;65;423.1425719;4.615384615;96.92307692;0.228840219;-0.049030752;-0.090879483;29.23076923;72.30769231;0.150262196;0.197843585;-0.08645461;-0.08645461;72.30769231;29.23076923;2;33;2.879997264;1.280487864;0.078474076;2.646292277;2
913;22;3.685690052;28.28618182;0.894143572;1.536000389;-0.152409692;-1.234096737;61;63.47577312;77.04918033;24.59016393;0.17683102;0;0;101.6393443;0;0.137402361;0.137402361;-0.009627285;-0.009627285;14.75409836;86.8852459;2;33;-1.020449147;0.276751687;0.92677144;1.049644001;3
914;22;23.89743248;53.84567832;0.617658934;2.231550117;-0.394498969;-2.481987179;212;1413.931422;28.30188679;72.16981132;0.195865938;-0.006679368;-0.013998357;87.26415094;13.20754717;0.074426339;0.192726789;-0.009627285;-0.009627285;92.45283019;8.018867925;2;33;3.155764953;1.701022999;0.411760341;0.897653432;2
915;22;28.54434646;52.80285315;0.485139113;1.67774087;-0.541777723;-1.421963869;196;1562.01007;4.081632653;96.42857143;0.228391691;0;0;100.5102041;0;0.132102441;0.235778156;0;0;100.5102041;0;2;33;3.020099149;2.579939612;-0.631952608;1.137110711;3
916;22;0.649403263;2.05779021;0.174783411;0.335846931;-0.090767774;-0.314168609;11;2.164677545;72.72727273;36.36363636;0.228391691;0;0;109.0909091;0;0.235778156;0.235778156;0;0;109.0909091;0;2;33;-3.205641887;3.906360105;-1.947914675;1.319563513;3
917;23;20.68958561;48.07401399;0.959110911;2.318356643;-0.681514137;-2.034034577;76;442.5272479;18.42105263;82.89473684;0.228391691;-0.024808961;-0.122793936;1.315789474;100;0.235778156;0.235778156;-0.02676046;-0.13835986;1.315789474;100;2;36;3.322677782;0.129180774;0.662560928;3.155727984;2
918;24;20.99098507;48.6790993;0.853197176;1.896234848;-0.909838746;-1.373514957;30;180.7557047;13.33333333;90;0.103001686;-0.122793936;-0.122793936;30;73.33333333;0;0;-0.13835986;-0.13835986;0;103.3333333;1;24;2.586463409;-2.485851391;1.871405825;1.817088199;2
919;24;26.63928889;52.07441958;0.512988622;2.054645105;-0.472699486;-1.794178904;170;1265.366222;4.705882353;95.88235294;0.119358313;0;0;100.5882353;0;0.082802371;0.126712118;-0.13835986;-0.13835986;95.88235294;4.705882353;1;24;3.09178755;0.924508969;-0.620357324;1.809654944;2
920;24;1.755567366;2.442360839;0.18483819;0.371521368;-0.154952875;-0.336536519;8;4.388918415;25;87.5;0.028248843;0;0;112.5;0;0.008968684;0.008968684;0;0;112.5;0;1;24;-2.195718761;1.718719482;-0.387611906;-0.324500473;3
921;24;1.221715944;7.199462937;0.192222895;0.429950466;-0.037673837;-0.699250971;79;27.1492432;77.21518987;24.05063291;0.062250631;-0.026551119;-0.026551119;29.11392405;72.15189873;0.008968684;0.008968684;-0.024304966;-0.024304966;29.11392405;72.15189873;2;23;-3.410506328;-0.295789177;-0.37526314;-1.058249624;1
922;25;10.59568;33.26794406;0.622412393;1.353461538;-0.413780692;-1.103554779;49;147.1622222;26.53061224;75.51020408;0;-0.026551119;-0.026551119;0;102.0408163;0;0;-0.024304966;-0.024304966;0;102.0408163;3;23;0.211713722;-1.492650587;1.303232664;-0.055944332;1
923;25;7.807994406;16.54246154;0.671174936;1.059463869;-0.363351563;-0.655654623;19;43.3777467;21.05263158;84.21052632;0.001280561;-0.026551119;-0.026551119;78.94736842;26.31578947;0;0;-0.024304966;-0.024304966;0;105.2631579;3;23;-0.577718168;-1.449264386;1.162466473;-0.007338098;1
924;25;10.5552019;43.7921958;1.025455679;1.734092852;-0.351751249;-1.670060218;46;137.8040249;58.69565217;43.47826087;0.001280561;-0.019088236;-0.019088236;36.95652174;65.2173913;0;0;-0.007318544;-0.024304966;0;102.173913;3;23;0.489310489;-1.617506443;2.536650062;0.323159469;2
925;25;15.68533835;45.85737063;0.744554304;1.47208819;-0.223160839;-1.850804196;77;339.8489977;53.24675325;48.05194805;0.03416262;-0.016776924;-0.019088236;58.44155844;42.85714286;0.027315495;0.027315495;-0.010587275;-0.013724775;64.93506494;36.36363636;3;23;0.553493737;0.34820896;1.357362082;0.272610841;2
926;25;16.02859619;45.51172028;0.711908724;1.55963481;-0.388780933;-1.749761072;50;227.0717793;46;56;0.03416262;0;0;102;0;0.010828114;0.027315495;0;0;102;0;3;23;0.962335776;1.171910765;1.659703871;0.598093793;2
